Disease	Code
Neoplasm by Special Category	C7062
Neoplasm by Morphology	C4741
Tumor Morphology	C4741
Tumor_Morphology	C4741
Neoplasm by Site	C3263
Cystic Tumor	C6784
Cystic Neoplasm	C6784
Miscellaneous Neoplasm	C102883
Miscellaneous Tumors	C102883
Miscellaneous neoplasm, NOS	C102883
Premalignant	C36032
Premalignant Neoplasm	C36032
Neoplasm by Etiology	C27933
Neoplasm by Cause	C27933
Neoplasm of Uncertain Origin	C6974
Neoplasm of Uncertain Histogenesis	C6974
Tumor of Uncertain Origin	C6974
Tumor of Uncertain Histogenesis	C6974
Non-Encapsulated Neoplasm	C36036
Spindle Cell Tumor	C27263
Spindle Cell Neoplasm	C27263
Tubular Neoplasm	C36033
Papillary Neoplasm	C36031
papillary tumor	C36031
Papillary Tumor	C36031
Osteolytic Neoplasm	C36030
Neoplasms of Uncertain and Unknown Behavior	C65157
Neoplasm, Uncertain Whether Benign or Malignant	C65157
Neoplasm, uncertain whether benign or malignant	C65157
Refractory Neoplasm	C7628
Refractory Tumor	C7628
Refractory tumor	C7628
Neoplasm of Low Malignant Potential	C3646
Borderline Neoplasm	C3646
Neoplasm of Uncertain Malignant Potential	C3646
Neoplasm of Borderline Malignancy	C3646
Non-Metastatic Neoplasm	C36037
Non-metastatic Disease	C36037
tumor_confined_to_organ_of_origin	C36037
tumor confined to organ of origin	C36037
Localized Neoplasm	C36037
Nodular Tumor	C36012
Nodular Neoplasm	C36012
Malignant Neoplastic Disease	C9305
Tumor, malignant, NOS	C9305
Neoplasm, malignant	C9305
CA	C9305
malignancy	C9305
Malignancy	C9305
NEOPLASM, MALIGNANT	C9305
cancer	C9305
Malignant Tumor	C9305
Unclassified tumor, malignant	C9305
Malignant Growth	C9305
Malignant Neoplasm	C9305
Cancer	C9305
Blood Cancer	C116915
Liquid Tumor	C116915
embryonal tumor	C3264
Embryonal Neoplasm	C3264
Non-Malignant Neoplasm	C163003
Non-malignant Neoplasm	C163003
Necrotic Neoplasm	C36029
Neoplasm by Obsolete Classification	C45230
Encapsulated Neoplasm	C36035
Pediatric Neoplasm	C6283
Pediatric Tumor	C6283
Childhood Tumor	C6283
Childhood Neoplasm	C6283
Neoplasm	C6283
secondary tumor	C36255
Secondary Neoplasm	C36255
Tumor, secondary	C36255
Neoplasm, secondary	C36255
Secondary Tumor	C36255
Villous Neoplasm	C36034
Mixed Neoplasm	C6930
Mixed Tumor	C6930
Rare Tumor	C7201
Rare Neoplasm	C7201
Recurrent tumor	C4798
Recurrent	C4798
Recurrent Neoplasm	C4798
Recurrent Tumor	C4798
recurrence	C4798
Recurrence	C4798
Neoplasm Recurrence	C4798
Neoplastic Polyp	C7068
Neoplasm, metastatic	C3261
Metastatic	C3261
Metastatic Tumor	C3261
Tumor, metastatic	C3261
Metastatic Neoplasm	C3261
Tumor, benign	C3677
NEOPLASM, BENIGN	C3677
Neoplasm, benign	C3677
Benign Neoplasm	C3677
Benign Neoplasms	C3677
Benign Tumor	C3677
Benign Unclassifiable Tumor	C3677
benign tumor	C3677
primary	C8509
primary tumor	C8509
