Disease	Code
 MpBC	C5164
"B Acute Lymphoblastic Leukemia with UBTF-ATXN7L3/PAN3, CDX2 (""CDX2/UBTF"")"	C199258
"B-Acute Lymphoblastic Leukemia with UBTF-ATXN7L3/PAN3, CDX2 (""CDX2/UBTF"")"	C199258
"B-ALL with UBTF-ATXN7L3/PAN3, CDX2 (""CDX2/UBTF"")"	C199258
"B-ALL with UBTF::ATXN7L3/PAN3, CDX2 (""CDX2/UBTF"")"	C199258
"Cardiac Unclassified Pleomorphic Sarcoma (Formerly Cardiac ""Malignant Fibrous Histiocytoma"")"	C45755
"Cardiac Unclassified Pleomorphic Sarcoma (Formerly Cardiac ""MFH"")"	C45755
"Cutaneous Unclassified Pleomorphic Sarcoma (Formerly Cutaneous ""Malignant Fibrous Histiocytoma"")"	C5576
"Cutaneous Unclassified Pleomorphic Sarcoma (Formerly Cutaneous ""MFH"")"	C5576
"Deep ""Aggressive"" Angiomyxoma"	C6936
"Metastatic Unclassified Pleomorphic Sarcoma (Formerly Metastatic ""Malignant Fibrous Histiocytoma"")"	C4926
"Metastatic Unclassified Pleomorphic Sarcoma (Formerly Metastatic ""Malignant Fibrous Histiocytoma"")"	C4926
"Metastatic Unclassified Pleomorphic Sarcoma (Formerly Metastatic ""MFH"")"	C4926
"Metastatic Unclassified Pleomorphic Sarcoma (Formerly Metastatic ""MFH"")"	C4926
"Paratesticular Deep ""Aggressive"" Angiomyxoma"	C162501
"Polycythemia Vera, ""Spent"" Phase"	C41233
"Recurrent Unclassified Pleomorphic Sarcoma (Formerly Recurrent ""Malignant Fibrous Histiocytoma"")"	C8795
"Recurrent Unclassified Pleomorphic Sarcoma (Formerly Recurrent ""MFH"")"	C8795
"Unclassified Pleomorphic Sarcoma (Formerly ""Malignant Fibrous Histiocytoma"")"	C4247
"Unclassified Pleomorphic Sarcoma (Formerly ""MFH"")"	C4247
"Vaginal Deep ""Aggressive"" Angiomyxoma"	C40273
"Vulvar Deep ""Aggressive"" Angiomyxoma"	C40322
0	C133413
0	C133519
0	C133519
0	C133654
0	C134744
0	C134756
0	C134756
0	C134812
0a	C140417
0is	C140418
5Q minus syndrome	C6867
5Q minus syndrome	C6867
5q- Syndrome	C6867
5q- Syndrome	C6867
5Q- syndrome	C6867
5Q- syndrome	C6867
8p11 Myeloproliferative Syndrome	C84277
8p11 Stem Cell Leukemia/Lymphoma Syndrome	C84277
8p11 Stem Cell Lymphoma/Leukemia Syndrome	C84277
8p11 Stem Cell Syndrome	C84277
A53 Diffuse Large B-Cell Lymphoma	C187447
AAH	C5665
ABC	C3516
ABC	C3516
ABC DLBCL	C36081
ABC-DLBCL	C36081
Abdominal (Mesenteric) Fibromatosis	C3741
Abdominal Carcinomatosis	C27382
Abdominal Carcinomatosis	C27382
Abdominal desmoid	C3741
Abdominal Desmoid	C3741
Abdominal Desmoid Tumor	C3741
Abdominal fibromatosis	C3741
Abdominal Fibromatosis	C3741
Abdominal Inflammatory Myofibroblastic Tumor	C126359
Abdominal Rhabdomyosarcoma	C151982
Abdominal Undifferentiated Pleomorphic Sarcoma	C151985
Abducens Nerve Neoplasm	C5826
Abducens Nerve Neoplasms	C5826
Abducens Nerve Tumor	C5826
Abducens Nerve Tumors	C5826
Abrikossoff Tumor	C3474
Abrikossoff's Tumor	C3474
AC	C7492
Acantholytic Acanthoma	C27517
Acantholytic squamous cell carcinoma	C4460
Acantholytic squamous cell carcinoma	C4460
Acantholytic Squamous Cell Carcinoma of Skin	C4460
Acantholytic Squamous Cell Carcinoma of Skin	C4460
Acantholytic Squamous Cell Carcinoma of the Skin	C4460
Acantholytic Squamous Cell Carcinoma of the Skin	C4460
Acantholytic Squamous Cell Skin Carcinoma	C4460
Acantholytic Squamous Cell Skin Carcinoma	C4460
Acanthoma	C7419
Acanthoma of Pilar Sheath	C4468
Acanthoma of Pilar Sheath	C4468
Acanthoma of the Pilar Sheath	C4468
Acanthoma of the Pilar Sheath	C4468
Acanthomatous Ameloblastoma	C39754
Accelerated Phase Chronic Granulocytic Leukemia	C3173
Accelerated Phase Chronic Granulocytic Leukemia	C3173
Accelerated Phase Chronic Myelocytic Leukemia	C3173
Accelerated Phase Chronic Myelocytic Leukemia	C3173
accelerated phase chronic myelogenous leukemia	C3173
accelerated phase chronic myelogenous leukemia	C3173
Accelerated Phase Chronic Myelogenous Leukemia	C3173
Accelerated Phase Chronic Myelogenous Leukemia	C3173
Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive	C3173
Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive	C3173
Accelerated Phase Chronic Myelogenous Leukemia, BCR::ABL1 Positive	C3173
Accelerated Phase Chronic Myelogenous Leukemia, BCR::ABL1 Positive	C3173
Accelerated Phase Chronic Myeloid Leukemia	C3173
Accelerated Phase Chronic Myeloid Leukemia	C3173
Accelerated Phase Chronic Myeloid Leukemia, BCR-ABL1 Positive	C3173
Accelerated Phase Chronic Myeloid Leukemia, BCR-ABL1 Positive	C3173
Accelerated Phase Chronic Myeloid Leukemia, BCR::ABL1 Positive	C3173
Accelerated Phase Chronic Myeloid Leukemia, BCR::ABL1 Positive	C3173
Accelerated Phase CML	C3173
Accelerated Phase CML	C3173
Accelerated Phase Myeloproliferative Neoplasm	C188315
Accelerated Phase Primary Myelofibrosis	C188317
Accessory Nerve Neoplasm	C5829
Accessory Sinus Adenocarcinoma	C6017
Accessory Sinus Adenocarcinoma	C6017
Accessory Sinus Adenoid Cystic Carcinoma	C6019
Accessory Sinus Cancer	C6014
Accessory Sinus Cancer	C6014
Accessory Sinus Carcinoma	C6014
Accessory Sinus Carcinoma	C6014
Accessory Sinus Diffuse Large B-Cell Lymphoma	C6073
Accessory Sinus Diffuse Large B-Cell Lymphoma	C6073
Accessory Sinus Esthesioneuroblastoma	C6016
Accessory Sinus Esthesioneuroblastoma	C6016
Accessory Sinus Inverted Papilloma	C8195
Accessory Sinus Inverted Papilloma	C8195
Accessory Sinus Inverting Papilloma	C8195
Accessory Sinus Inverting Papilloma	C8195
Accessory Sinus Lymphoma	C6068
Accessory Sinus Lymphoma	C6068
Accessory Sinus Mucoepidermoid Carcinoma	C6018
Accessory Sinus Mucoepidermoid Carcinoma	C6018
Accessory Sinus Neoplasm	C7488
Accessory Sinus Non-Hodgkin's Lymphoma	C6069
Accessory Sinus Non-Hodgkin's Lymphoma	C6069
Accessory Sinus Sarcoma	C6849
Accessory Sinus Sarcoma	C6849
Accessory Sinus Schneiderian Papilloma	C6835
Accessory Sinus Schneiderian Papilloma	C6835
Accessory Sinus Tumor	C7488
Accessory Urethral Gland Adenocarcinoma	C7371
Accessory Urethral Gland Carcinoma	C7371
Accessory Urethral Gland Neoplasm	C4378
ACD-RCC	C157718
Acidophil Adenocarcinoma	C4147
Acidophil Adenoma	C6780
Acidophil Carcinoma	C4147
Acidophil Stem Cell Adenoma	C45929
Acidophil Stem Cell PitNET/Adenoma	C45929
Acidophil Stem Cell Pituitary Neuroendocrine Tumor	C45929
Acidophil Stem Cell Pituitary Neuroendocrine Tumor/Adenoma	C45929
ACIN	C7490
Acinar adenocarcinoma	C3768
Acinar adenocarcinoma	C3768
Acinar Adenocarcinoma	C3768
Acinar Adenocarcinoma	C3768
Acinar Adenocarcinoma of Lung	C5649
Acinar Adenocarcinoma of Prostate	C5596
Acinar Adenocarcinoma of Prostate	C5596
Acinar Adenocarcinoma of the Lung	C5649
Acinar Adenocarcinoma of the Prostate	C5596
Acinar Adenocarcinoma of the Prostate	C5596
Acinar adenoma	C4196
Acinar Adenoma	C4196
Acinar carcinoma	C3768
Acinar carcinoma	C3768
Acinar Carcinoma	C3768
Acinar Carcinoma	C3768
Acinar Cell Adenocarcinoma	C3768
Acinar Cell Adenocarcinoma	C3768
Acinar Cell Adenocarcinoma of Pancreas	C7977
Acinar Cell Adenocarcinoma of Pancreas	C7977
Acinar Cell Adenocarcinoma of Pancreas	C7977
Acinar Cell Adenocarcinoma of the Pancreas	C7977
Acinar Cell Adenocarcinoma of the Pancreas	C7977
Acinar Cell Adenocarcinoma of the Pancreas	C7977
Acinar cell adenoma	C4196
Acinar Cell Adenoma	C4196
Acinar cell carcinoma	C3768
Acinar cell carcinoma	C3768
Acinar Cell Carcinoma	C3768
Acinar Cell Carcinoma	C3768
Acinar Cell Carcinoma of Pancreas	C7977
Acinar Cell Carcinoma of Pancreas	C7977
Acinar Cell Carcinoma of Pancreas	C7977
Acinar Cell Carcinoma of the Pancreas	C7977
Acinar Cell Carcinoma of the Pancreas	C7977
Acinar Cell Carcinoma of the Pancreas	C7977
Acinar cell cystadenocarcinoma	C5727
Acinar Cell Cystadenocarcinoma	C5727
Acinar Cell Cystadenocarcinoma of Pancreas	C5727
Acinar Cell Cystadenocarcinoma of the Pancreas	C5727
Acinar Cell Neoplasm	C4197
Acinar Cell Neoplasms	C4197
Acinar cell tumor	C4197
Acinar Cell Tumor	C4197
Acinar Colloid Prostate Adenocarcinoma	C5537
Acinar Colloid Prostate Adenocarcinoma	C5537
Acinar Prostate Adenocarcinoma	C5596
Acinar Prostate Adenocarcinoma	C5596
Acinar Prostate Mucinous Adenocarcinoma	C5537
Acinar Prostate Mucinous Adenocarcinoma	C5537
ACINAR-ISLET CELL TUMOR, MALIGNANT	C6878
Acinic cell adenocarcinoma	C3768
Acinic cell adenocarcinoma	C3768
Acinic Cell Adenocarcinoma	C3768
Acinic Cell Adenocarcinoma	C3768
Acinic Cell Adenocarcinoma of Major Salivary Gland	C5901
Acinic Cell Adenocarcinoma of Major Salivary Gland	C5901
Acinic Cell Adenocarcinoma of Minor Salivary Gland	C6243
Acinic Cell Adenocarcinoma of Minor Salivary Gland	C6243
Acinic Cell Adenocarcinoma of the Major Salivary Gland	C5901
Acinic Cell Adenocarcinoma of the Major Salivary Gland	C5901
Acinic Cell Adenocarcinoma of the Minor Salivary Gland	C6243
Acinic Cell Adenocarcinoma of the Minor Salivary Gland	C6243
Acinic cell adenoma	C4196
Acinic Cell Adenoma	C4196
Acinic Cell Breast Carcinoma	C40367
Acinic Cell Breast Carcinoma	C40367
Acinic Cell Breast Carcinoma	C40367
Acinic Cell Carcinoma	C3768
Acinic Cell Carcinoma	C3768
Acinic Cell Carcinoma of Major Salivary Gland	C5901
Acinic Cell Carcinoma of Major Salivary Gland	C5901
Acinic Cell Carcinoma of Minor Salivary Gland	C6243
Acinic Cell Carcinoma of Minor Salivary Gland	C6243
Acinic Cell Carcinoma of Parotid	C5933
Acinic Cell Carcinoma of Parotid	C5933
Acinic Cell Carcinoma of Parotid Gland	C5933
Acinic Cell Carcinoma of Parotid Gland	C5933
Acinic Cell Carcinoma of Salivary Gland	C8013
Acinic Cell Carcinoma of Salivary Gland	C8013
Acinic Cell Carcinoma of Submandibular Gland	C5934
Acinic Cell Carcinoma of Submandibular Gland	C5934
Acinic Cell Carcinoma of Submaxillary Gland	C5934
Acinic Cell Carcinoma of Submaxillary Gland	C5934
Acinic Cell Carcinoma of the Major Salivary Gland	C5901
Acinic Cell Carcinoma of the Major Salivary Gland	C5901
Acinic Cell Carcinoma of the Minor Salivary Gland	C6243
Acinic Cell Carcinoma of the Minor Salivary Gland	C6243
Acinic Cell Carcinoma of the Parotid	C5933
Acinic Cell Carcinoma of the Parotid	C5933
Acinic Cell Carcinoma of the Parotid Gland	C5933
Acinic Cell Carcinoma of the Parotid Gland	C5933
Acinic Cell Carcinoma of the Salivary Gland	C8013
Acinic Cell Carcinoma of the Salivary Gland	C8013
Acinic Cell Carcinoma of the Submandibular Gland	C5934
Acinic Cell Carcinoma of the Submandibular Gland	C5934
Acinic Cell Carcinoma of the Submaxillary Gland	C5934
Acinic Cell Carcinoma of the Submaxillary Gland	C5934
Acinic Cell Neoplasm of Salivary Gland	C8013
Acinic Cell Neoplasm of Salivary Gland	C8013
Acinic Cell Neoplasm of the Salivary Gland	C8013
Acinic Cell Neoplasm of the Salivary Gland	C8013
Acinic cell tumor	C4197
Acinic Cell Tumor of Salivary Gland	C8013
Acinic Cell Tumor of Salivary Gland	C8013
Acinic Cell Tumor of the Salivary Gland	C8013
Acinic Cell Tumor of the Salivary Gland	C8013
Ackerman Tumor	C8174
aCML	C3519
Acoustic Nerve Neoplasm	C5120
Acoustic Nerve Tumor	C5120
Acoustic Neurilemmoma	C3276
Acoustic Neurilemmoma	C3276
Acoustic Neurilemmoma	C3276
Acoustic neuroma	C3276
Acoustic neuroma	C3276
Acoustic neuroma	C3276
Acoustic Neuroma	C3276
Acoustic Neuroma	C3276
Acoustic Neuroma	C3276
Acoustic Schwannoma	C3276
Acoustic Schwannoma	C3276
Acoustic Schwannoma	C3276
ACP	C4726
Acquired Cystic Disease-Associated Renal Cell Carcinoma	C157718
Acquired cystic disease-associated renal cell carcinoma (RCC)	C157718
Acquired Hemangioma	C27018
Acquired Progressive Lymphangioma	C3203
Acquired Retinal Astrocytoma	C174539
Acquired tufted hemangioma	C4487
Acral Fibromyxoma	C121713
Acral Fibromyxoma	C121713
Acral Lentiginous Malignant Melanoma	C4022
Acral Lentiginous Melanoma	C4022
Acral lentiginous melanoma, malignant	C4022
Acral Melanoma	C4022
Acral Myxoinflammatory Fibroblastic Sarcoma	C49025
Acral Myxoinflammatory Fibroblastic Sarcoma	C49025
Acral Myxoinflammatory Fibroblastic Sarcoma	C49025
Acral Nevus	C54659
Acral Skin Nevus	C54659
Acrospiroma	C7563
Acrosyringeal Adenomatosis	C43356
Acrosyringeal Adenomatosis	C43356
Acrosyringeal Nevus	C43356
Acrosyringeal Nevus	C43356
ACT	C178483
ACT/CS1	C9027
ACTH Producing Pituitary Gland Adenoma	C7462
ACTH Producing Pituitary Gland Carcinoma	C5964
ACTH Secreting Adenoma of Pituitary	C7462
ACTH Secreting Adenoma of the Pituitary	C7462
ACTH-Producing Pituitary Adenoma	C7462
ACTH-Producing Pituitary Gland Adenoma	C7462
ACTH-Producing Tumor	C7462
ACTHoma	C7462
Actinic Keratosis of External Ear	C6080
Actinic Keratosis of the External Ear	C6080
Activated B-Cell-Like Diffuse Large B-Cell Lymphoma	C36081
Acute (Malignant) Myelofibrosis	C4344
Acute (Malignant) Myelosclerosis	C4344
Acute Adult T-Cell Leukemia/Lymphoma	C36265
