code,pref_name
C114451,Rare Childhood Malignant Neoplasm
C121786,"Mixed Tumor, Not Otherwise Specified"
C100054,Conjunctival Melanocytic Intraepithelial Neoplasia
C168698,Cervical Spine Neoplasm
C168673,Lumbar Spine Neoplasm
C168674,Sacral Spine Neoplasm
C172183,Progesterone Receptor-Positive Malignant Neoplasm
C173488,Head and Neck Melanocytic Neoplasm
C175307,Benign Lacrimal System Neoplasm
C181078,Hybrid Salivary Gland Tumor
C156483,Benign Genitourinary System Neoplasm
C156484,Malignant Genitourinary System Neoplasm
C156714,Malignant Abdominal Neoplasm
C157652,Pelvic Sarcoma
C148301,Refractory Sarcoma
C148302,Recurrent Sarcoma
C150602,Resectable Malignant Neoplasm
C163003,Non-Malignant Neoplasm
C128112,Vaginal Germ Cell Tumor
C126469,Borderline Broad Ligament Serous Tumor
C189258,Childhood Genitourinary System Neoplasm
C190090,Childhood Thoracic Neoplasm
C190573,Childhood Benign Neoplasm
C190576,Childhood Benign Connective and Soft Tissue Neoplasm
C192122,Paratesticular Epithelial Neoplasm
C188978,Childhood Papillary Intralymphatic Angioendothelioma
C189001,Childhood Myoepithelial Tumor
C187995,Thyroblastoma
C188179,Refractory Neoplastic Post-Transplant Lymphoproliferative Disorder
C3010,Endocrine Neoplasm
C3141,Intestinal Neoplasm
C2961,Conjunctival Neoplasm
C2946,Chondrosarcoma
C27935,Occupational Neoplasm
C27936,Immunodeficiency-Related Neoplasm
C2920,Malignant Skin Neoplasm
C3088,Angiosarcoma
C36012,Nodular Neoplasm
C36037,Localized Neoplasm
C36083,Breast Intraductal Neoplasm
C35813,Hematopoietic and Lymphatic System Neoplasm
C3622,Benign Conjunctival Neoplasm
C36255,Secondary Neoplasm
C202879,Head and Neck Phosphaturic Mesenchymal Tumor
C202896,GLI1-Altered Soft Tissue Tumor
C200652,Hormone Therapy Refractory Neoplasm
C3406,Thoracic Neoplasm
C3412,Thymus Neoplasm
C3516,Aneurysmal Bone Cyst
C3520,Myeloid Sarcoma
C3564,Malignant Conjunctival Neoplasm
C35691,Mixed Tumor of the Salivary Gland
C35562,"Neuroepithelial, Perineurial, and Schwann Cell Neoplasm"
C3286,Odontogenic Neoplasm
C3261,Metastatic Neoplasm
C3268,Nervous System Neoplasm
C3217,Benign Mastocytoma
C3361,Salivary Gland Neoplasm
C38156,Metachronous Malignant Neoplasm
C3798,Malignant Peripheral Nerve Sheath Tumor
C3764,Adenomatous Polyp
C3765,Multicystic Mesothelioma
C3717,Melanotic Neuroectodermal Tumor
C3730,Mixed Mesodermal (Mullerian) Tumor
C3740,Desmoplastic Fibroma
C3746,Small Cell Sarcoma
C40405,Breast Fibroepithelial Neoplasm
C40216,Cervical Soft Tissue Neoplasm
C40265,Vaginal Soft Tissue Neoplasm
C40126,Fallopian Tube Soft Tissue Neoplasm
C40181,Uterine Corpus Mixed Epithelial and Mesenchymal Neoplasm
C4354,Benign Eyelid Neoplasm
C4248,Lipomatous Neoplasm
C201978,Pulmonary Mucinous Cystic Tumor of Borderline Malignancy
C27721,Digestive System Neuroendocrine Neoplasm
C27005,Spindle Cell Sarcoma
C27639,Transplant-Related Hematologic Malignancy
C4505,Benign Breast Neoplasm
C4364,Ciliary Body Neoplasm
C53684,Benign Connective and Soft Tissue Neoplasm
C5212,Nipple Neoplasm
C5504,Central Nervous System Melanocytic Neoplasm
C54000,Gastrointestinal Stromal Tumor of Uncertain Malignant Potential
C7887,Recurrent Gestational Trophoblastic Tumor
C8101,Adult Solid Neoplasm
C6528,Pericytic Neoplasm
C65153,"Malignant Neoplasm, Uncertain Whether Primary or Metastatic"
C6974,Neoplasm of Uncertain Histogenesis
C6990,Central Nervous System Embryonal Tumor
C6894,Malignant Solitary Fibrous Tumor
C7596,Malignant Myoepithelioma
C7577,Recurrent Nevus
C5119,Nerve Root Neoplasm
C4571,Malignant Respiratory System Neoplasm
C45612,Lung Soft Tissue Neoplasm
C4567,Malignant Pericardial Neoplasm
C45602,Bronchial Mixed Squamous Cell and Glandular Papilloma
C5241,Mixed Germ Cell-Sex Cord-Stromal Tumor
C5156,Spinal Chordoma
C4952,Localized Brain Neoplasm
C4929,Chest Wall Neoplasm
C4867,Malignant Soft Tissue Neoplasm
C7342,Epithelial Skin Neoplasm
C7337,Peritoneal and Retroperitoneal Neoplasm
C7389,Benign Vascular Neoplasm
C4711,Borderline Cystadenoma
C6104,Benign Uveal Neoplasm
C66752,Clear Cell Neoplasm
C66818,Nervous System Neoplasm (Antiquated)
C7062,Neoplasm by Special Category
C7161,Skin Melanocytic Neoplasm
C8562,Ocular Melanoma
C9118,Sarcoma
C9145,Osteosarcoma
C9107,Childhood Solid Neoplasm
C8592,Benign Chondrogenic Neoplasm
C8964,Synovial Neoplasm
C9312,Bone Sarcoma
C93125,Radiation-Related Sarcoma
C92624,Papillary Tumor of the Pineal Region
C9418,High Grade Sarcoma
C115352,Recurrent Borderline Ovarian Surface Epithelial-Stromal Tumor
C115432,Recurrent Sinonasal Inverted Papilloma
C114926,Childhood Epithelioid Hemangioendothelioma
C114940,Malignant Cardiovascular Neoplasm
C121788,Benign Phosphaturic Mesenchymal Tumor
C123906,Childhood Gastrointestinal Stromal Tumor
C134172,Recurrent Histiocytic and Dendritic Cell Neoplasm
C126598,Thyroid Gland Noninvasive Follicular Neoplasm with Papillary-Like Nuclear Features
C128294,Vulvar Germ Cell Tumor
C132146,Malignant Solid Neoplasm
C182030,Recurrent Nervous System Neoplasm
C188964,Childhood NTRK-Rearranged Spindle Cell Neoplasm
C188976,Childhood Tenosynovial Giant Cell Tumor
C188982,Childhood EBV-Associated Smooth Muscle Tumor
C188222,Head and Neck Neuroendocrine Neoplasm
C190123,Childhood Skin Neoplasm
C155647,Sarcoma of the Extremity
C155767,Mixed Gangliocytoma-Pituitary Neuroendocrine Tumor
C156713,Benign Peritoneal and Retroperitoneal Neoplasm
C155875,Recurrent Desmoid Fibromatosis
C161045,Prostate Soft Tissue Neoplasm
C169100,Skin Soft Tissue Neoplasm
C173932,Benign Head and Neck Neoplasm
C174539,Retinal Astrocytoma
C172941,Inflammatory Fibroid Polyp
C172852,Digestive System Soft Tissue Neoplasm
C175308,Malignant Lacrimal System Neoplasm
C176558,Localized Sarcoma
C175225,Visual Pathway Medulloepithelioma
C177364,Somatic-Type Malignancy
C192124,Borderline Paratesticular Serous Tumor
C192127,Borderline Paratesticular Mucinous Tumor
C193458,Refractory PEComa
C3918,Extragonadal Germ Cell Tumor
C3843,Malignant Ovarian Cyst
C3809,Neuroendocrine Neoplasm
C27771,Old Burn Scar-Related Neoplasm
C27497,Glomus Tumor of Uncertain Malignant Potential
C27880,Bladder Urothelial Proliferation of Uncertain Malignant Potential
C27209,Radiation-Related Malignant Neoplasm
C27224,Infection-Related Neoplasm
C27291,Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor
C27359,Unresectable Malignant Neoplasm
C4380,Scrotal Neoplasm
C4463,Skin Appendage Neoplasm
C3473,Choroid Plexus Neoplasm
C3422,Trophoblastic Tumor
C3402,Tenosynovial Giant Cell Tumor
C3502,Thyroid Gland Follicular Adenoma
C4783,Borderline Ovarian Epithelial Tumor
C4586,Metastatic Malignant Neoplasm in the Eye
C200227,Pancreatic Cystic Neoplasm
C3372,Skin Neoplasm
C3260,Neck Neoplasm
C3263,Neoplasm by Site
C3208,Lymphoma
C3305,Pancreatic Neoplasm
C3357,Retroperitoneal Neoplasm
C8989,Oral Neoplasm
C9014,Cystic Teratoma
C4813,Recurrent Malignant Neoplasm
C49107,Giant Cell Tumor of Soft Tissue
C5244,Ovarian Soft Tissue Neoplasm
C66806,Ciliary Body Medulloepithelioma
C66816,Spontaneously Regressed Retinoblastoma
